
"WebID","Area","Data label","2021","2021%","2016","2016%","2011","2011%","2006","2006%","Data Type",
"200","West Melbourne (N)","Other","69","1.4306","53","1.7474","12","0.5970","16","1.0526","UR",
"200","West Melbourne (N)","Worked at home","1858","38.5237","105","3.4619","99","4.9254","70","4.6053","UR",
"200","West Melbourne (N)","Did not go to work","548","11.3622","267","8.8032","147","7.3134","134","8.8158","UR",
"200","West Melbourne (N)","Not stated","20","0.4147","27","0.8902","7","0.3483","16","1.0526","UR",
"200","West Melbourne (N)","Total employed persons aged 15+","4823","100.0000","3033","100.0000","2010","100.0000","1520","100.0000","UR",
"210","Arden (P)","Train","15","5.5381","24","12.4569","18","12.0050","14","10.3586","UR",
"210","Arden (P)","Bus","0","","2","1.0635","0","0.3881","0","","UR",
"210","Arden (P)","Tram","7","2.6355","19","9.9356","19","12.6168","4","3.1873","UR",
"210","Arden (P)","Ferry","0","","0","","0","","0","","UR",
"210","Arden (P)","Taxi/ride-share","1","0.5698","1","0.8338","0","","0","","UR",
"210","Arden (P)","Car - as driver","56","20.2400","55","27.4752","45","29.9632","40","29.0837","UR",
"210","Arden (P)","Car - as passenger","3","1.2038","4","2.4365","2","1.9274","2","1.9920","UR",
"210","Arden (P)","Truck","0","","0","0.4793","1","0.8683","1","1.1952","UR",
"210","Arden (P)","Motorbike","0","0.3419","3","1.7924","1","1.0196","2","1.9920","UR",
"210","Arden (P)","Bicycle","13","4.6691","14","7.1896","10","7.0517","8","6.3745","UR",
"210","Arden (P)","Walked only","19","6.9414","43","21.5288","26","17.6161","20","14.7410","UR",
"210","Arden (P)","Other","2","0.7479","5","2.7510","6","4.2889","4","3.5857","UR",
"210","Arden (P)","Worked at home","129","46.2604","10","5.2923","6","4.4928","11","7.9681","UR",
"210","Arden (P)","Did not go to work","28","10.2821","13","6.6903","11","7.2556","23","17.1315","UR",
"210","Arden (P)","Not stated","1","0.5698","0","0.0749","0","0.5065","3","2.3904","UR",
"210","Arden (P)","Total employed persons aged 15+","280","100.0000","200","100.0000","152","100.0000","138","100.0000","UR",
"220","Carlton (P)","Train","276","4.2176","372","6.9533","392","7.8275","190","4.7323","UR",
"220","Carlton (P)","Bus","71","1.0850","158","2.9533","66","1.3179","69","1.7186","UR",
